0, 0, 0.5, 2026-05-29 18:18:11.120497, 2026-05-29 18:18:13.844081, 2026-05-29 18:18:18.846028
14, 0, 0.5, 2026-05-29 18:18:24.434121, 2026-05-29 18:18:28.901030, 2026-05-29 18:18:33.902846
1.5, 30, 0.5, 2026-05-29 18:18:39.436484, 2026-05-29 18:18:45.464543, 2026-05-29 18:18:50.465303
12.5, 30, 0.5, 2026-05-29 18:18:56.023618, 2026-05-29 18:19:00.523182, 2026-05-29 18:19:05.527270
2.5, 60, 0.5, 2026-05-29 18:19:11.048137, 2026-05-29 18:19:17.088484, 2026-05-29 18:19:22.092489
11.5, 60, 0.5, 2026-05-29 18:19:27.610949, 2026-05-29 18:19:31.645345, 2026-05-29 18:19:36.651637
0, 0, 0.5, 2026-06-01 17:09:50.388828, 2026-06-01 17:09:52.968013, 2026-06-01 17:09:57.973224
14, 0, 0.5, 2026-06-01 17:10:03.614897, 2026-06-01 17:10:08.026930, 2026-06-01 17:10:13.029757
1.5, 30, 0.5, 2026-06-01 17:10:18.636854, 2026-06-01 17:10:24.589094, 2026-06-01 17:10:29.592469
12.5, 30, 0.5, 2026-06-01 17:10:35.133117, 2026-06-01 17:10:39.649180, 2026-06-01 17:10:44.653000
2.5, 60, 0.5, 2026-06-01 17:10:50.179471, 2026-06-01 17:10:56.214980, 2026-06-01 17:11:01.217274
11.5, 60, 0.5, 2026-06-01 17:11:06.753419, 2026-06-01 17:11:10.772844, 2026-06-01 17:11:15.773667
0, 0, 0.5, 2026-06-01 17:11:21.290087, 2026-06-01 17:11:29.341665, 2026-06-01 17:11:34.344092
14, 0, 0.5, 2026-06-01 17:11:39.849593, 2026-06-01 17:11:44.402983, 2026-06-01 17:11:49.405765
1.5, 30, 0.5, 2026-06-01 17:11:54.911393, 2026-06-01 17:12:00.967520, 2026-06-01 17:12:05.969611
12.5, 30, 0.5, 2026-06-01 17:12:11.474226, 2026-06-01 17:12:16.023193, 2026-06-01 17:12:21.025260
2.5, 60, 0.5, 2026-06-01 17:12:26.532546, 2026-06-01 17:12:32.592053, 2026-06-01 17:12:37.594155
11.5, 60, 0.5, 2026-06-01 17:12:43.099157, 2026-06-01 17:12:47.144445, 2026-06-01 17:12:52.146343
0, 0, 0.5, 2026-06-01 17:12:57.652345, 2026-06-01 17:13:05.719360, 2026-06-01 17:13:10.721716
14, 0, 0.5, 2026-06-01 17:13:16.227886, 2026-06-01 17:13:18.767977, 2026-06-01 17:13:23.771360
1.5, 30, 0.5, 2026-06-01 17:13:29.276210, 2026-06-01 17:13:35.332320, 2026-06-01 17:13:40.334090
0, 0, 0.5, 2026-06-02 14:16:18.452897, 2026-06-02 14:16:21.159965, 2026-06-02 14:16:26.163797
14, 0, 0.5, 2026-06-02 14:16:31.789424, 2026-06-02 14:16:36.221799, 2026-06-02 14:16:41.224717
0, 0, 0.5, 2026-06-02 14:19:57.634846, 2026-06-02 14:20:05.068737, 2026-06-02 14:20:10.072146
14, 0, 0.5, 2026-06-02 14:20:15.716790, 2026-06-02 14:20:19.127275, 2026-06-02 14:20:24.129133
1.5, 30, 0.5, 2026-06-02 14:20:29.656551, 2026-06-02 14:20:34.183259, 2026-06-02 14:20:39.185106
12.5, 30, 0.5, 2026-06-02 14:20:44.710780, 2026-06-02 14:20:48.234381, 2026-06-02 14:20:53.236224
2.5, 60, 0.5, 2026-06-02 14:20:58.761578, 2026-06-02 14:21:04.804315, 2026-06-02 14:21:09.805251
11.5, 60, 0.5, 2026-06-02 14:21:15.336844, 2026-06-02 14:21:19.357539, 2026-06-02 14:21:24.360255
0, 0, 0.5, 2026-06-02 14:21:29.886540, 2026-06-02 14:21:37.931939, 2026-06-02 14:21:42.934377
14, 0, 0.5, 2026-06-02 14:21:48.481998, 2026-06-02 14:21:52.986868, 2026-06-02 14:21:57.989897
1.5, 30, 0.5, 2026-06-02 14:22:03.517212, 2026-06-02 14:22:08.048324, 2026-06-02 14:22:13.051927
