x_mm,y_mm,target_force_N,actual_force_N,printer_start_utc,printer_start_epoch,printer_mid_utc,printer_mid_epoch,printer_end_utc,printer_end_epoch,eit_capture_utc,eit_capture_epoch,eit_sample_monotonic,eit_clipping,eit_channel_0,eit_channel_1,eit_channel_2,eit_channel_3,eit_channel_4,eit_channel_5,eit_channel_6,eit_channel_7,eit_channel_8,eit_channel_9,eit_channel_10,eit_channel_11,eit_channel_12,eit_channel_13,eit_channel_14,eit_channel_15,eit_channel_16,eit_channel_17,eit_channel_18,eit_channel_19,eit_channel_20,eit_channel_21,eit_channel_22,eit_channel_23,eit_channel_24,eit_channel_25,eit_channel_26,eit_channel_27,eit_channel_28,eit_channel_29,eit_channel_30,eit_channel_31,eit_channel_32,eit_channel_33,eit_channel_34,eit_channel_35,eit_channel_36,eit_channel_37,eit_channel_38,eit_channel_39,eit_channel_40,eit_channel_41,eit_channel_42,eit_channel_43,eit_channel_44,eit_channel_45,eit_channel_46,eit_channel_47,eit_channel_48,eit_channel_49,eit_channel_50,eit_channel_51,eit_channel_52,eit_channel_53,eit_channel_54,eit_channel_55,eit_channel_56,eit_channel_57,eit_channel_58,eit_channel_59,eit_channel_60,eit_channel_61,eit_channel_62,eit_channel_63,eit_channel_64,eit_channel_65,eit_channel_66,eit_channel_67,eit_channel_68,eit_channel_69,eit_channel_70,eit_channel_71,eit_channel_72,eit_channel_73,eit_channel_74,eit_channel_75,eit_channel_76,eit_channel_77,eit_channel_78,eit_channel_79,eit_channel_80,eit_channel_81,eit_channel_82,eit_channel_83,eit_channel_84,eit_channel_85,eit_channel_86,eit_channel_87,eit_channel_88,eit_channel_89,eit_channel_90,eit_channel_91,eit_channel_92,eit_channel_93,eit_channel_94,eit_channel_95,eit_channel_96,eit_channel_97,eit_channel_98,eit_channel_99,eit_channel_100,eit_channel_101,eit_channel_102,eit_channel_103,eit_channel_104,eit_channel_105,eit_channel_106,eit_channel_107,eit_channel_108,eit_channel_109,eit_channel_110,eit_channel_111,eit_channel_112,eit_channel_113,eit_channel_114,eit_channel_115,eit_channel_116,eit_channel_117,eit_channel_118,eit_channel_119,eit_channel_120,eit_channel_121,eit_channel_122,eit_channel_123,eit_channel_124,eit_channel_125,eit_channel_126,eit_channel_127,eit_channel_128,eit_channel_129,eit_channel_130,eit_channel_131,eit_channel_132,eit_channel_133,eit_channel_134,eit_channel_135,eit_channel_136,eit_channel_137,eit_channel_138,eit_channel_139,eit_channel_140,eit_channel_141,eit_channel_142,eit_channel_143,eit_channel_144,eit_channel_145,eit_channel_146,eit_channel_147,eit_channel_148,eit_channel_149,eit_channel_150,eit_channel_151,eit_channel_152,eit_channel_153,eit_channel_154,eit_channel_155,eit_channel_156,eit_channel_157,eit_channel_158,eit_channel_159,eit_channel_160,eit_channel_161,eit_channel_162,eit_channel_163,eit_channel_164,eit_channel_165,eit_channel_166,eit_channel_167,eit_channel_168,eit_channel_169,eit_channel_170,eit_channel_171,eit_channel_172,eit_channel_173,eit_channel_174,eit_channel_175,eit_channel_176,eit_channel_177,eit_channel_178,eit_channel_179,eit_channel_180,eit_channel_181,eit_channel_182,eit_channel_183,eit_channel_184,eit_channel_185,eit_channel_186,eit_channel_187,eit_channel_188,eit_channel_189,eit_channel_190,eit_channel_191
25,2,2,2.0681,2026-06-03T13:55:13.611396,1780491313.611396,2026-06-03T13:55:30.207409,1780491330.207409,2026-06-03T13:55:35.209190,1780491335.20919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13,2,2.069,2026-06-03T13:55:40.716196,1780491340.716196,2026-06-03T13:55:55.806069,1780491355.806069,2026-06-03T13:56:00.807293,1780491360.807293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2,2.0474,2026-06-03T13:56:06.311876,1780491366.311876,2026-06-03T13:56:19.395061,1780491379.395061,2026-06-03T13:56:24.396596,1780491384.396596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,2,2.2803,2026-06-03T13:56:29.902105,1780491389.902105,2026-06-03T13:56:41.480261,1780491401.480261,2026-06-03T13:56:46.481157,1780491406.481157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,2,2.1758,2026-06-03T13:56:51.988317,1780491411.988317,2026-06-03T13:57:07.078277,1780491427.078277,2026-06-03T13:57:12.080755,1780491432.080755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,2,2.1827,2026-06-03T13:57:17.586967,1780491437.586967,2026-06-03T13:57:31.175712,1780491451.175712,2026-06-03T13:57:36.177927,1780491456.177927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,2,2.0397,2026-06-03T13:57:41.683319,1780491461.683319,2026-06-03T13:57:58.276161,1780491478.276161,2026-06-03T13:58:03.278548,1780491483.278548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13,2,2.0379,2026-06-03T13:58:08.783876,1780491488.783876,2026-06-03T13:58:23.877130,1780491503.87713,2026-06-03T13:58:28.879035,1780491508.879035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3,3.186,2026-06-03T13:58:34.383738,1780491514.383738,2026-06-03T13:58:48.977240,1780491528.97724,2026-06-03T13:58:53.978542,1780491533.978542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,3,3.2566,2026-06-03T13:58:59.482531,1780491539.482531,2026-06-03T13:59:12.065767,1780491552.065767,2026-06-03T13:59:17.066199,1780491557.066199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
