0, 0, 0.5, 2026-06-03 17:33:08.832452, 2026-06-03 17:33:15.420683, 2026-06-03 17:33:20.423265
0, 15, 0.5, 2026-06-03 17:33:25.948488, 2026-06-03 17:33:31.483600, 2026-06-03 17:33:36.486542
15, 1, 0.5, 2026-06-03 17:33:42.002688, 2026-06-03 17:33:50.056220, 2026-06-03 17:33:55.056830
15, 14, 0.5, 2026-06-03 17:34:00.573351, 2026-06-03 17:34:08.125987, 2026-06-03 17:34:13.129074
25, 2, 0.5, 2026-06-03 17:34:18.647033, 2026-06-03 17:34:27.202412, 2026-06-03 17:34:32.203436
25, 13, 0.5, 2026-06-03 17:34:37.720153, 2026-06-03 17:34:45.771294, 2026-06-03 17:34:50.775162
0, 0, 0.5, 2026-06-03 17:34:56.291483, 2026-06-03 17:35:04.343462, 2026-06-03 17:35:09.345342
0, 15, 0.5, 2026-06-03 17:35:14.897269, 2026-06-03 17:35:20.405968, 2026-06-03 17:35:25.408966
15, 1, 0.5, 2026-06-03 17:35:30.921755, 2026-06-03 17:35:39.477997, 2026-06-03 17:35:44.479225
15, 14, 0.5, 2026-06-03 17:35:49.995939, 2026-06-03 17:35:58.053029, 2026-06-03 17:36:03.054165
25, 2, 0.5, 2026-06-03 17:36:08.573911, 2026-06-03 17:36:17.627662, 2026-06-03 17:36:22.628020
25, 13, 0.5, 2026-06-03 17:36:28.147186, 2026-06-03 17:36:36.701480, 2026-06-03 17:36:41.702834
0, 0, 0.5, 2026-06-03 17:36:47.220170, 2026-06-03 17:36:55.271994, 2026-06-03 17:37:00.274033
0, 15, 0.5, 2026-06-03 17:37:05.792898, 2026-06-03 17:37:11.337465, 2026-06-03 17:37:16.338070
15, 1, 0.5, 2026-06-03 17:37:21.854173, 2026-06-03 17:37:30.410872, 2026-06-03 17:37:35.411868
15, 14, 0.5, 2026-06-03 17:37:40.928437, 2026-06-03 17:37:48.981497, 2026-06-03 17:37:53.983357
25, 2, 0.5, 2026-06-03 17:37:59.501936, 2026-06-03 17:38:08.557193, 2026-06-03 17:38:13.558623
25, 13, 0.5, 2026-06-03 17:38:19.073886, 2026-06-03 17:38:27.631413, 2026-06-03 17:38:32.633447
0, 0, 1, 2026-06-03 17:38:38.149927, 2026-06-03 17:38:47.204463, 2026-06-03 17:38:52.207797
0, 15, 1, 2026-06-03 17:38:57.725660, 2026-06-03 17:39:04.273788, 2026-06-03 17:39:09.275158
15, 1, 1, 2026-06-03 17:39:14.788513, 2026-06-03 17:39:24.351405, 2026-06-03 17:39:29.353755
15, 14, 1, 2026-06-03 17:39:34.871117, 2026-06-03 17:39:43.925178, 2026-06-03 17:39:48.926457
25, 2, 1, 2026-06-03 17:39:54.444416, 2026-06-03 17:40:05.510069, 2026-06-03 17:40:10.513668
25, 13, 1, 2026-06-03 17:40:16.030899, 2026-06-03 17:40:26.089053, 2026-06-03 17:40:31.089681
0, 0, 1, 2026-06-03 17:40:36.607149, 2026-06-03 17:40:45.667646, 2026-06-03 17:40:50.669279
0, 15, 1, 2026-06-03 17:40:56.184915, 2026-06-03 17:41:03.234103, 2026-06-03 17:41:08.235638
15, 1, 1, 2026-06-03 17:41:13.753973, 2026-06-03 17:41:23.816439, 2026-06-03 17:41:28.817279
15, 14, 1, 2026-06-03 17:41:34.334214, 2026-06-03 17:41:43.892817, 2026-06-03 17:41:48.895237
25, 2, 1, 2026-06-03 17:41:54.412722, 2026-06-03 17:42:05.475892, 2026-06-03 17:42:10.478370
25, 13, 1, 2026-06-03 17:42:15.992498, 2026-06-03 17:42:26.056395, 2026-06-03 17:42:31.058105
0, 0, 1, 2026-06-03 17:42:36.574841, 2026-06-03 17:42:45.631810, 2026-06-03 17:42:50.632974
0, 15, 1, 2026-06-03 17:42:56.151121, 2026-06-03 17:43:03.197767, 2026-06-03 17:43:08.201602
15, 1, 1, 2026-06-03 17:43:13.715462, 2026-06-03 17:43:23.780767, 2026-06-03 17:43:28.783322
15, 14, 1, 2026-06-03 17:43:34.300422, 2026-06-03 17:43:43.859268, 2026-06-03 17:43:48.860912
25, 2, 1, 2026-06-03 17:43:54.378849, 2026-06-03 17:44:05.440416, 2026-06-03 17:44:10.443470
